username|email|role|dr|brand|date|nbtransacm0|nbtransacytd|txtransacnpem0|txtransacnvem0|txtransacnpeytd|txtransacnveytd|txtransacnpesm0|txtransacnvesm0|txtransacnpesytd|txtransacnvesytd|txtransacnpesam0|txtransacnvesam0|txtransacnpesaytd|txtransacnvesaytd|ranknpem0|ranknpeytd|ranknpesm0|ranknpesytd|ranknpesam0|ranknpesaytd|nbreclientscontactablesemailh|nbreclientsinactifsemailh|nbreclientsanimesm0|nbreclientstransformesm0|caclientstransformesm0|cacrmytd
013 NICE LINGOSTIERE|nicelingostiere13@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|387|2075|29.20|1.81|29.49|4.14|27.65|1.81|27.81|4.00|23.00|1.55|26.31|4.10|93|82|84|68|58|37|2389|1338|1214|19|773|6015
014 NICE TNL|nicetnl14@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|553|2544|29.66|1.45|20.68|3.03|26.40|1.45|18.91|2.91|26.04|1.45|18.32|2.75|91|113|91|102|53|66|2710|1692|1045|18|1509.8|5011.85
016 SAINT PRIEST|stpriest16@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|598|3117|63.04|2.17|55.12|6.13|56.35|2.01|51.24|5.58|53.51|2.34|47.96|7.38|5|5|10|4|5|4|5487|2911|2991|41|4362.4|17353.01
017 ECULLY|ecully17@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|824|4012|29.49|0.61|24.45|1.32|26.70|0.49|21.96|1.25|16.63|0.36|16.40|1.15|92|103|88|96|84|76|2325|1041|1419|23|1915.5|9518.05
018 TOULON MAYOL|Toulonmayol18@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|413|2048|47.46|1.69|39.84|6.10|44.79|1.94|37.45|5.81|40.68|1.45|31.01|5.32|30|35|27|28|18|27|3337|1906|1562|23|1755.2|5202.5
019 PORTET S/ GARONNE|toulouseportet19@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|512|2536|43.16|4.49|39.27|5.95|40.63|3.91|37.11|5.40|37.50|3.32|35.09|5.48|46|37|37|31|22|22|5395|3357|2429|18|1339.2|7358.44
020 TOULOUSE GRAMONT|toulousegramont20@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|713|3458|34.64|1.26|31.41|5.55|31.00|0.56|27.15|4.16|29.59|0.70|24.75|3.85|72|69|68|70|42|42|2960|1527|1591|17|1279.2|4738.81
021 BORDEAUX LE LAC|bordeauxlelac21@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|627|3213|21.85|0.80|25.86|2.15|18.82|0.64|23.65|1.93|9.09|0.64|11.58|1.46|111|97|108|89|111|97|6422|4387|2453|31|2144|8868.78
024 NICE ETOILE|niceetoile24@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|944|4559|26.80|0.85|26.76|3.22|23.52|0.74|24.68|3.05|21.61|0.95|22.94|2.68|100|91|96|84|61|49|3733|1899|2069|21|1353.6|6484.08
026 PONTAULT COMBAULT|pontault26@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|610|3037|62.13|2.13|49.42|3.62|59.18|2.13|45.90|3.39|16.07|1.48|14.36|1.68|7|12|6|11|86|89|3568|1723|2048|39|3936.1|8820.12
027 CLAYE SOUILLY|clayesouilly27@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|769|3653|57.09|1.04|46.29|3.83|54.10|1.04|43.61|4.05|16.64|1.30|13.88|2.76|14|20|13|17|83|92|2982|1177|1898|51|4887|10930.4
028 FACHES THUMESNIL|Faches28@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|897|4116|44.04|1.56|38.51|2.16|39.46|0.89|34.77|1.80|33.11|0.89|27.09|1.87|43|42|42|39|30|34|5537|3084|2806|48|3276.3|14564.72
029 RONCQ|Roncq29@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|1015|4725|35.67|3.45|25.84|8.68|22.27|1.38|16.78|3.68|19.11|1.38|13.97|3.51|71|98|101|111|69|91|3595|1845|1713|32|2608.5|8803.16
030 SAINT GENIS 2|stgenis30@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|646|3212|41.95|1.55|44.40|3.02|35.60|1.39|39.07|2.55|30.96|1.39|35.46|2.46|50|23|55|23|38|21|4428|2466|2257|29|1885.2|8480.03
031 NOYELLES GODAULT|Noyelles31@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|422|2320|48.82|4.98|40.60|8.06|47.16|4.98|33.62|6.94|13.27|1.42|9.22|2.84|28|29|22|42|96|108|4293|2763|1913|16|989|6620.67
032 ST BRICE SOUS FORET|Stbrice32@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|632|2614|24.53|1.74|24.87|1.87|22.31|1.58|22.15|1.72|14.87|0.79|14.73|1.38|104|102|100|95|89|85|2103|1203|1053|12|1163|7244.87
033 ST SEBASTIEN S/ LOIRE|stsebastien33@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|688|3357|38.95|1.31|29.91|5.09|33.58|1.31|25.11|4.56|32.56|1.31|24.52|4.65|60|79|60|81|33|44|4219|2400|1992|27|2063.2|8289.45
036 MONTESSON|montesson36@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|653|2760|55.59|4.59|46.49|7.50|53.29|3.83|43.88|6.78|20.67|1.68|16.52|4.02|18|17|14|15|65|74|2907|1266|1558|35|2919.6|9033.63
037 CAP 3000|cap300037@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|341|1696|20.53|2.05|30.66|2.95|19.65|2.05|29.13|2.83|17.01|1.47|27.00|2.59|114|75|106|59|79|36|2347|1242|1241|15|1572.2|7917.32
038 VALENCE|valence38@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|381|1884|47.24|3.94|50.42|9.02|45.14|3.94|47.72|8.44|35.70|2.10|35.51|5.31|31|10|26|9|24|19|3597|2098|1736|22|2669.2|9214.42
040 VENETTE|Venette40@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|551|2586|49.73|1.45|44.24|3.71|48.09|1.45|41.80|3.44|41.38|1.09|34.96|3.05|25|24|21|19|16|23|2380|1029|1503|18|1029|4969.15
041 VALTHOIRY|valthoiry41@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|841|4064|31.87|4.52|31.20|8.66|18.79|3.57|19.12|6.13|17.36|3.33|16.90|5.93|87|71|109|101|76|71|2768|1242|1631|41|3377|17189.39
042 LA VILLE DU BOIS|Villedubois42@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|688|3346|33.58|0.87|15.93|0.96|30.38|0.87|13.90|0.81|17.88|0.58|9.29|0.81|79|122|73|121|74|107|1516|750|722|25|2122.3|4849.35
044 CERGY PONTOISE|Cergy44@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|615|2976|61.30|2.28|39.52|3.29|58.70|2.11|36.86|3.06|18.37|0.98|13.44|1.41|8|36|7|33|73|94|3432|1770|1847|26|1253.1|8301.6
046 AVIGNON MISTRAL 7|avignonmistral46@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|455|2367|24.18|0.00|29.95|2.79|22.64|0.00|28.09|2.70|5.05|0.00|7.94|1.14|106|78|99|65|124|115|2628|1476|1391|17|1786.2|7811.02
048 BORDEAUX ST MEDARD|bordeauxmedard48@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|563|2706|47.07|1.78|35.37|2.48|41.92|1.60|31.01|2.29|41.56|1.60|30.82|2.25|33|55|32|54|13|28|2617|1366|1397|26|1997|5185.1
049 NOISY LE GRAND|noisy49@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|658|3567|51.52|2.89|35.58|4.35|49.39|2.58|33.17|3.81|11.70|1.37|10.34|2.47|23|53|17|45|105|105|2659|1127|1522|27|1923.2|7146.73
051 LE MANS|lemans51@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|648|3326|44.75|2.31|38.70|4.84|40.90|2.01|35.12|4.42|40.90|2.01|34.85|4.54|37|41|35|38|17|24|5518|3445|2491|46|3041.2|11480.19
053 STRASBOURG LES HALLES|strasbourg53@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|304|1620|42.76|6.58|46.48|13.33|40.13|5.59|40.19|11.73|23.03|3.62|15.93|5.31|47|18|39|20|57|81|2768|1462|1429|5|297|5454.1
054 CENTRE 2 ST ETIENNE|stetienne54@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|373|2255|58.45|1.88|58.89|4.61|54.16|1.88|55.39|4.30|53.62|2.14|54.72|4.57|11|3|12|3|4|1|6200|3986|2812|25|2189.2|16279.5
055 GRENOBLE GRAND PLACE|Grenoblegdplace55@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|635|3113|49.61|0.94|47.45|4.05|47.09|1.42|44.27|3.76|26.14|1.10|23.35|2.06|26|15|24|14|51|47|5598|3246|2670|41|3454|14384.42
057 GONFREVILLE|Gonfreville57@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|574|3007|48.26|2.61|49.29|7.02|43.55|2.26|45.03|6.12|42.68|2.26|44.16|6.05|29|13|28|12|12|7|7062|4696|2956|44|3195.2|14954.57
062 VELIZY|velizy62@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|684|3948|71.20|2.05|54.48|6.03|65.94|1.75|49.47|5.70|15.35|0.29|12.84|1.67|1|7|1|6|88|95|6805|3434|3503|58|5161.3|24099.02
063 MERIGNAC|merignac63@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|791|3899|34.64|0.63|29.42|1.82|28.45|0.63|24.98|1.41|24.02|0.38|19.31|1.15|73|83|80|82|55|62|5499|3371|2368|35|2009.2|8929.27
064 CARRE SENART|carresenart64@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|516|2742|40.89|1.16|34.97|2.92|37.02|0.97|30.63|2.41|19.38|0.58|16.89|1.60|55|58|47|56|67|72|3653|1935|1844|27|1963|10468.4
066 CRETEIL|creteilsoleil66@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|811|3979|56.97|1.73|46.49|6.18|34.16|1.23|32.77|4.93|7.89|1.60|7.06|3.57|15|16|58|48|117|119|5675|3078|2922|44|5607|23544.24
067 TOURS|Tourscentre67@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|561|2846|20.32|2.14|19.22|3.44|17.11|1.43|14.93|2.28|16.93|1.43|14.37|2.35|115|116|115|119|80|88|1966|1072|961|12|824|5631.1
071 BAY 2 TORCY|bay2torcy71@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|663|3484|53.70|2.71|40.04|5.22|48.11|2.26|35.59|4.59|12.52|2.26|10.76|3.16|20|33|20|37|101|104|3290|1609|1851|44|3186.1|11152.11
072 BRETIGNY|Bretigny72@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|911|4723|11.75|1.32|12.92|2.16|9.77|0.99|10.61|1.74|6.92|0.88|6.99|1.25|125|124|125|125|118|121|2965|1812|1286|16|1403.2|6595.86
073 EVRY 2|evrydeux73@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|491|2536|22.40|0.61|20.66|2.64|17.92|0.20|17.43|2.09|14.87|0.41|15.85|2.29|109|114|111|109|90|82|1545|834|806|8|601.4|2785.94
074 CAEN CENTRE VILLE|Caen74@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|505|2460|42.38|1.19|37.48|2.48|39.60|0.99|33.90|2.32|39.41|1.19|33.82|2.40|49|44|40|41|19|25|4384|2593|2153|38|2170.2|6725.59
075 NANCY|Nancy75@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|668|3231|46.56|1.20|30.80|2.38|39.07|0.90|23.27|1.64|26.95|0.75|18.54|1.76|34|73|43|91|48|63|3553|2027|1701|22|1637.3|4151.11
077 SENS|sens77@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|132|133|132|133|132|133|441|315|157|0|0|142
079 ECHIROLLES|echirolles79@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|564|2672|44.33|0.89|35.07|3.67|40.78|0.53|31.92|3.14|31.03|0.35|24.89|3.07|41|56|36|51|36|41|3956|2465|1747|28|1293|6488.51
080 LILLE TANNEURS|lille80@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|818|3889|58.44|1.47|55.88|5.61|50.73|0.98|48.70|4.68|49.88|1.22|47.78|5.12|12|4|16|7|7|5|6294|3124|3502|50|3021|10620.71
081 Cora HOUDEMONT|Nancy81@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|1041|4831|44.48|2.02|34.03|4.18|28.63|1.06|22.89|2.65|18.92|0.86|20.37|2.65|40|60|78|92|70|59|7071|4299|3307|48|4320.5|15332.31
092 BRY SUR MARNE|092brysurmarne@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|133|134|133|134|133|134|1134|757|472|2|317.76|1694.96
106 ROUEN|rouen106@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|533|2740|43.90|1.31|29.27|2.81|35.46|1.13|24.49|2.63|34.15|1.13|23.69|2.77|44|84|56|86|27|46|3220|1809|1506|28|2607.5|6310.45
116 COQUELLES|Calais116@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|709|3169|37.09|2.40|25.28|2.93|31.73|1.83|21.36|2.37|30.61|2.12|20.89|2.52|67|101|67|98|40|56|2790|1439|1522|24|1645.1|4752.45
120 BREST|brest120@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|606|3161|47.19|1.16|21.04|1.20|40.59|1.16|18.35|1.04|30.86|1.49|16.26|1.08|32|112|38|103|39|77|1704|732|874|14|988|3619.86
122 ANGERS|angers122@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|530|2684|57.36|2.64|42.88|3.09|54.91|2.45|37.70|2.57|53.96|2.08|37.26|2.46|13|27|11|26|3|14|4641|2691|2292|27|2862.95|7848.93
127 MONTPELLIER|montpellier127@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|570|2464|15.96|1.75|17.41|3.53|14.04|1.75|15.18|3.13|11.93|1.40|10.84|3.13|121|119|119|118|103|103|1321|671|671|7|309|2697.75
132 ARGENTEUIL|argenteuil132@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|395|3363|32.15|6.84|30.15|7.91|26.84|5.32|26.82|6.90|20.00|3.80|22.39|5.56|86|76|86|71|66|52|2676|1455|1521|12|2178.9|12571.87
136 LYON PART DIEU|lyonpartdieu136@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|1154|5887|35.79|1.13|18.87|3.26|32.58|0.87|16.19|2.84|8.41|0.87|4.40|1.10|68|118|63|116|114|127|2413|895|1401|19|2104.3|7836.48
139 TOURS|Stpierredescorps139@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|723|3850|11.07|0.41|11.51|0.91|8.85|0.14|8.62|0.68|8.85|0.14|8.47|0.73|126|127|126|128|113|112|3150|2073|1353|18|919.1|5053.75
141 PARIS LA DEFENSE|ladefense141@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|1447|7431|29.16|0.83|22.06|3.16|26.47|0.76|20.35|2.97|13.34|0.76|9.18|2.95|94|106|90|100|95|109|7007|4011|3259|41|4882.6|18857.22
142 PARIS PASSAGE DU HAVRE|Passageduhavre142@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|1645|8470|37.57|1.82|36.35|5.34|31.98|1.70|30.33|4.44|10.46|0.73|11.45|2.57|65|48|65|57|108|99|8280|4234|4540|32|2830.7|14598.88
143 ORLEANS|orleans143@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|604|3262|38.25|1.32|32.71|3.43|32.62|1.16|28.39|3.19|32.45|1.16|27.65|3.19|63|66|62|64|34|32|3450|1848|1855|20|1745.5|10332.34
145 PARIS LES HALLES|Forum145@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|907|4523|27.67|0.55|17.16|2.01|19.51|0.55|13.58|1.46|17.20|0.77|11.19|2.61|96|120|107|122|77|101|2717|1341|1358|11|720.9|5003.2
149 PARIS RUE DE RENNES|ruederennes149@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|673|3621|17.68|2.08|21.98|2.98|14.56|1.63|18.31|2.35|5.79|0.89|8.12|2.02|118|107|117|104|122|113|3503|1889|1715|10|678|5990.25
153 LE HAVRE|Lehavrecoty153@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|826|3938|37.29|1.82|28.64|2.54|28.57|1.82|17.85|1.70|28.33|1.82|17.45|1.78|66|85|79|107|46|68|3800|2060|1966|58|5478.4|14454.51
155 LORIENT|Lorien155@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|779|3736|15.28|0.64|8.32|0.46|12.07|0.51|6.58|0.43|5.65|0.26|4.95|0.43|123|129|123|129|123|126|1142|594|537|4|42|247.1
156 MARSEILLE|marseillebourse156@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|275|1448|14.91|0.36|15.54|3.04|12.73|0.73|14.16|2.97|10.18|1.45|9.60|2.76|124|123|122|120|109|106|921|530|490|8|2682.1|4488.65
182 TROYES|Troyes182@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|134|135|134|135|134|135|1520|1139|520|1|82|82
191 VAL D'EUROPE|valdeurope191@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|1257|5668|52.90|3.34|40.42|6.44|47.10|2.94|36.29|5.58|11.85|0.88|11.24|2.21|21|32|23|35|104|100|7729|4166|4065|55|5077.7|17788.08
193 ANNECY|annecy193@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|833|4061|27.97|1.08|30.14|2.95|26.29|0.96|27.87|2.61|26.05|1.08|27.53|2.73|95|77|92|66|52|33|3613|1902|1833|28|1551|7827.08
194 VILLENEUVE D'ASCQ|Villeneuve194@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|826|3799|33.41|4.36|27.64|10.50|27.97|3.75|21.95|8.32|6.05|2.54|6.76|2.84|80|88|82|97|120|122|2496|1096|1472|29|2577.6|6597.61
195 PAU LESCAR|pau195@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|707|3193|15.98|0.99|16.32|2.16|12.87|0.85|12.37|1.63|12.45|0.99|11.53|1.75|120|121|121|123|102|98|1555|868|860|12|760|3203.1
196 BELLE EPINE|belleepine196@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|628|3633|63.85|3.50|38.92|6.30|62.42|3.34|37.30|6.00|11.62|2.23|8.89|2.78|4|39|3|30|106|111|4135|2092|2190|41|3593.1|14955.07
200 ROSNY|rosny200@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|617|3170|62.24|2.76|49.12|5.24|59.64|2.76|44.95|4.73|19.29|0.65|16.25|2.18|6|14|5|13|68|78|5117|2567|2919|42|5258|15241.7
204 MARSEILLE|bonneveine204@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|274|1404|40.15|3.28|37.82|6.13|37.23|3.28|34.54|6.13|32.85|2.92|30.41|5.70|56|43|46|40|32|30|1659|906|874|13|521|1852.3
205 Montmartre|montmartre205@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|512|2915|31.05|0.98|25.39|3.60|26.56|0.98|22.57|3.40|8.20|0.20|6.38|1.44|88|100|89|93|115|123|2133|955|1158|12|1252.2|13869.3
206 Commerce|commerce206@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|648|3273|45.68|1.39|46.44|4.55|42.75|1.23|42.93|4.16|37.96|1.08|37.34|3.82|36|19|30|18|21|13|3050|1296|1823|37|2690.8|9359.06
207 GARE DE L'EST|207garedelest@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|289|1993|27.34|5.54|35.37|9.98|24.57|5.54|31.36|9.03|5.88|2.77|5.82|3.96|98|54|95|53|121|124|3162|1958|1424|11|895|4483.07
209 TAVERNY|209taverny@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|689|3138|22.35|0.58|21.73|1.85|18.14|0.44|16.48|1.37|14.66|0.29|13.99|1.24|110|109|110|115|91|90|1693|829|985|19|1720|5778.39
