username|email|role|dr|brand|date|nbtransacm0|nbtransacytd|txtransacnpem0|txtransacnvem0|txtransacnpeytd|txtransacnveytd|txtransacnpesm0|txtransacnvesm0|txtransacnpesytd|txtransacnvesytd|txtransacnpesam0|txtransacnvesam0|txtransacnpesaytd|txtransacnvesaytd|ranknpem0|ranknpeytd|ranknpesm0|ranknpesytd|ranknpesam0|ranknpesaytd|nbreclientscontactablesemailh|nbreclientsinactifsemailh|nbreclientsanimesm0|nbreclientstransformesm0|caclientstransformesm0|cacrmytd
014 NICE TNL|nicetnl14@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-06-01 00:00:00+02|560|3104|42.68|0.54|24.94|3.29|40.89|0.54|23.16|3.16|39.82|0.71|22.49|3.09|73|104|62|98|31|57|874|1168|1978|39|2608.6|10314.35
016 SAINT PRIEST|stpriest16@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-06-01 00:00:00+02|729|3846|70.51|0.69|58.14|6.21|63.65|1.37|53.72|5.80|58.98|5.62|50.21|8.32|6|5|9|4|4|4|2032|1755|2515|86|10412.8|38644.01
017 ECULLY|ecully17@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-06-01 00:00:00+02|1000|5012|28.10|0.60|25.34|1.50|26.50|0.40|23.02|1.34|19.00|1.30|17.08|1.42|108|103|99|99|86|78|1017|669|1266|42|2556.1|15432.2
018 TOULON MAYOL|Toulonmayol18@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-06-01 00:00:00+02|437|2485|41.42|1.37|40.16|6.48|37.76|1.83|37.55|6.28|32.27|1.83|31.31|5.71|76|40|69|36|50|31|967|1086|1256|21|1964.7|12186.83
019 PORTET S/ GARONNE|toulouseportet19@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-06-01 00:00:00+02|618|3154|54.85|1.62|42.39|6.40|50.81|1.78|39.85|5.90|44.66|2.27|37.06|5.93|39|36|33|32|22|21|1450|1742|1860|37|3141.7|15166.84
020 TOULOUSE GRAMONT|toulousegramont20@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-06-01 00:00:00+02|833|4291|49.94|0.84|35.05|5.80|43.82|1.32|30.48|4.71|42.26|1.56|28.25|4.52|50|64|51|63|26|38|1061|872|1366|33|1701.9|9075.91
021 BORDEAUX LE LAC|bordeauxlelac21@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-06-01 00:00:00+02|628|3841|32.32|2.39|27.08|2.42|30.57|1.59|24.94|2.08|15.45|1.59|12.29|1.64|95|99|90|94|97|98|1453|1797|1787|54|4315.7|18550.75
024 NICE ETOILE|niceetoile24@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-06-01 00:00:00+02|1012|5571|36.66|0.99|28.74|3.52|31.42|1.09|26.08|3.39|27.77|1.09|24.00|3.00|83|92|86|87|59|49|1440|1297|2631|42|2876|15543.64
026 PONTAULT COMBAULT|pontault26@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-06-01 00:00:00+02|701|3738|64.19|1.28|52.51|3.96|60.49|1.43|48.90|3.77|20.26|3.42|15.60|2.68|18|12|14|10|78|89|1480|1110|1889|73|4449.6|19566.28
027 CLAYE SOUILLY|clayesouilly27@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-06-01 00:00:00+02|816|4469|56.99|0.49|48.53|3.87|55.39|0.74|46.10|4.25|18.26|6.37|14.95|4.39|33|20|21|16|89|91|1485|763|1878|67|5761.81|20406.29
028 FACHES THUMESNIL|Faches28@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-06-01 00:00:00+02|972|5088|53.40|0.93|41.76|2.71|45.68|0.82|37.19|2.28|38.89|1.44|29.68|2.52|44|39|45|39|35|34|1870|1851|2409|114|7988.3|29746.89
029 RONCQ|Roncq29@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-06-01 00:00:00+02|1165|5890|59.74|2.92|32.95|11.24|36.74|2.40|21.14|4.97|21.20|2.83|15.65|4.92|29|77|72|103|74|88|1440|1009|1592|58|3481.4|17130.26
030 SAINT GENIS 2|stgenis30@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-06-01 00:00:00+02|769|3981|54.62|1.43|46.62|3.54|46.16|1.43|40.69|2.99|44.21|1.69|37.40|2.81|41|24|43|27|23|20|1515|1409|1910|88|6079.4|20619.93
031 NOYELLES GODAULT|Noyelles31@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-06-01 00:00:00+02|622|2942|68.81|2.73|46.63|9.35|65.59|2.89|40.58|8.23|12.38|4.02|9.99|3.84|9|23|6|29|109|109|1233|1367|1529|56|5425.1|17683.87
032 ST BRICE SOUS FORET|Stbrice32@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-06-01 00:00:00+02|658|3272|23.10|0.46|24.45|1.93|20.97|0.46|21.85|1.80|13.83|0.61|14.55|1.56|115|106|111|101|104|93|672|673|884|19|2118.05|12349.52
033 ST SEBASTIEN S/ LOIRE|stsebastien33@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-06-01 00:00:00+02|724|4081|43.09|1.24|32.39|5.37|37.98|1.66|27.57|5.07|35.50|1.80|26.64|5.07|72|79|68|76|43|44|1338|1338|1640|48|3715.5|16035.39
036 MONTESSON|montesson36@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-06-01 00:00:00+02|671|3431|67.36|1.34|50.92|8.34|65.13|1.34|48.38|7.64|35.92|1.79|20.72|4.87|12|15|8|13|42|64|1186|909|1542|71|5420.85|19469.63
037 CAP 3000|cap300037@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-06-01 00:00:00+02|692|2388|21.10|0.72|28.02|2.47|16.76|0.72|25.71|2.39|14.74|0.43|23.62|2.14|119|94|119|89|100|51|847|876|1707|50|7753|18329.23
038 VALENCE|valence38@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-06-01 00:00:00+02|447|2331|51.68|2.24|51.09|8.92|48.99|2.01|48.43|8.41|47.43|2.01|38.44|5.66|47|14|37|12|18|18|1068|1058|1375|41|3573.9|16775.94
040 VENETTE|Venette40@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-06-01 00:00:00+02|604|3190|49.50|0.33|45.42|3.64|46.85|0.66|42.92|3.54|39.74|0.50|36.11|3.04|51|27|42|19|32|22|1018|756|1376|36|2986|10544.25
041 VALTHOIRY|valthoiry41@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-06-01 00:00:00+02|799|4863|48.56|2.25|34.44|8.74|31.29|2.25|21.49|6.40|23.28|3.00|18.22|6.50|56|66|87|102|68|73|1073|848|1439|54|5181.1|29007.24
042 LA VILLE DU BOIS|Villedubois42@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-06-01 00:00:00+02|791|4137|44.25|0.88|22.26|1.18|41.85|0.76|20.14|1.02|21.11|1.01|12.26|1.06|69|113|57|105|75|99|735|542|1237|42|4171.1|12870.96
044 CERGY PONTOISE|Cergy44@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-06-01 00:00:00+02|742|3718|64.02|0.81|44.62|3.95|62.40|0.81|42.17|3.74|18.87|0.81|14.69|1.75|19|31|10|23|87|92|1275|1183|1699|63|4604.1|17888.05
046 AVIGNON MISTRAL 7|avignonmistral46@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-06-01 00:00:00+02|554|2921|36.46|0.00|31.22|2.77|35.56|0.36|29.54|2.74|16.25|0.36|9.69|0.99|86|82|78|69|96|111|921|880|1160|28|3047.2|14360.88
048 BORDEAUX ST MEDARD|bordeauxmedard48@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-06-01 00:00:00+02|657|3363|50.53|1.52|38.77|2.88|45.21|1.83|34.23|2.65|45.05|1.98|34.05|2.65|48|48|46|48|21|26|985|815|1246|50|2472.7|11804.4
049 NOISY LE GRAND|noisy49@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-06-01 00:00:00+02|798|4365|58.40|1.50|39.91|4.74|55.01|1.38|37.32|4.28|11.28|4.51|10.61|3.53|30|42|24|38|113|107|1129|804|1508|36|2207.62|11685.15
051 LE MANS|lemans51@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-06-01 00:00:00+02|809|4135|55.62|2.60|42.10|5.51|51.79|2.35|38.55|5.05|51.67|2.47|38.31|5.18|37|37|32|35|13|19|1555|1862|1982|76|5231.4|26042.78
053 STRASBOURG LES HALLES|strasbourg53@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-06-01 00:00:00+02|375|1995|72.27|1.33|51.78|13.68|66.93|2.93|45.66|12.88|28.27|2.40|18.45|6.52|4|13|4|18|57|72|904|850|1137|23|1813.2|9725.65
054 CENTRE 2 ST ETIENNE|stetienne54@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-06-01 00:00:00+02|505|2760|65.94|1.78|60.33|4.67|61.78|2.18|56.70|4.49|60.59|2.57|55.94|4.78|15|3|12|3|3|2|1640|2075|2098|75|7199.6|34486.94
055 GRENOBLE GRAND PLACE|Grenoblegdplace55@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-06-01 00:00:00+02|784|3897|60.71|1.66|50.40|4.23|57.53|1.79|47.22|4.00|37.63|1.40|26.71|2.26|25|17|19|14|38|41|1684|1732|2170|76|5245.6|27833.34
057 GONFREVILLE|Gonfreville57@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-06-01 00:00:00+02|681|3688|55.21|3.38|50.62|7.51|49.05|3.38|46.01|6.62|48.46|3.52|45.20|6.62|38|16|35|17|17|8|1720|2357|2203|114|8783.62|39045.19
062 VELIZY|velizy62@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-06-01 00:00:00+02|908|4856|76.65|1.43|58.71|6.01|71.04|1.65|53.60|5.70|11.89|3.52|12.77|2.45|3|4|3|5|110|96|2464|2031|3384|81|10661|45297.47
063 MERIGNAC|merignac63@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-06-01 00:00:00+02|908|4807|34.91|1.21|30.60|2.21|29.30|0.99|25.94|1.73|25.22|0.99|20.55|1.48|90|84|94|88|65|67|1462|1647|1863|64|4328.6|19871.77
064 CARRE SENART|carresenart64@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-06-01 00:00:00+02|642|3384|42.06|1.09|36.55|3.13|34.27|1.40|31.62|2.72|12.46|1.25|16.31|1.89|75|61|80|58|108|85|1387|1127|2050|34|4596|18612.53
066 CRETEIL|creteilsoleil66@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-06-01 00:00:00+02|897|4876|66.67|1.56|50.39|6.77|42.59|1.56|34.78|5.02|7.69|4.68|7.30|4.55|13|18|56|47|121|120|1910|1775|2602|61|8339.9|37747.29
067 TOURS|Tourscentre67@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-06-01 00:00:00+02|663|3508|32.13|1.21|22.01|3.71|27.15|1.66|17.59|2.74|26.09|1.96|16.90|2.85|96|115|97|115|63|81|653|592|793|28|2249.1|10396.25
071 BAY 2 TORCY|bay2torcy71@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-06-01 00:00:00+02|768|4252|63.93|2.34|44.64|5.79|57.94|2.34|39.93|5.20|14.19|8.33|11.52|5.15|20|30|18|31|102|103|1400|910|1701|90|7360.8|23687.11
072 BRETIGNY|Bretigny72@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-06-01 00:00:00+02|1394|6118|24.53|0.43|15.76|2.11|20.80|0.57|13.16|1.78|17.43|0.43|9.61|1.37|113|124|112|123|92|113|928|1261|2134|64|8970.4|20346.45
073 EVRY 2|evrydeux73@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-06-01 00:00:00+02|613|3149|25.12|0.65|21.69|2.64|20.55|0.65|18.23|2.16|19.58|0.65|16.74|2.38|112|116|114|113|81|82|575|598|1080|34|2968|9385.04
074 CAEN CENTRE VILLE|Caen74@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-06-01 00:00:00+02|557|3017|49.01|0.90|39.64|2.45|45.96|1.08|36.16|2.25|45.24|1.08|35.96|2.32|55|44|44|41|20|23|1242|1553|1582|76|5078.7|16119.89
075 NANCY|Nancy75@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-06-01 00:00:00+02|724|3955|61.33|0.55|36.56|2.68|52.49|0.41|28.82|1.85|31.08|0.55|21.04|1.90|23|60|30|71|53|62|1157|1136|1512|56|2696.8|10701.26
077 SENS|sens77@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-06-01 00:00:00+02|0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|131|133|131|133|131|133|86|132|103|2|103|245
079 ECHIROLLES|echirolles79@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-06-01 00:00:00+02|599|3271|46.74|1.00|37.45|4.25|42.90|0.83|34.15|3.67|32.55|1.67|26.66|3.58|62|55|55|50|48|43|1118|1138|1415|54|2589.1|12728.61
080 LILLE TANNEURS|lille80@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-06-01 00:00:00+02|847|4736|64.70|1.65|57.77|5.57|55.49|1.42|50.11|4.73|54.07|2.24|49.09|5.34|17|6|20|7|8|5|2228|2173|2912|111|7341.9|26579.86
081 Cora HOUDEMONT|Nancy81@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-06-01 00:00:00+02|1162|5993|49.48|0.86|37.11|4.41|36.14|0.86|25.56|2.82|21.00|1.46|20.56|2.80|52|57|75|90|76|66|2062|2210|2673|100|7527.45|31432.89
092 BRY SUR MARNE|092brysurmarne@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-06-01 00:00:00+02|0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|132|134|132|134|132|134|263|375|331|7|295.3|2372.76
106 ROUEN|rouen106@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-06-01 00:00:00+02|632|3372|40.98|1.42|31.76|3.08|33.54|1.27|26.54|2.82|31.33|1.27|25.47|2.94|79|81|82|82|51|46|1004|1003|1293|47|4290.3|14943.08
116 COQUELLES|Calais116@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-06-01 00:00:00+02|740|3909|47.97|0.95|29.85|3.25|40.68|0.95|25.28|2.71|39.05|1.08|24.58|2.87|60|87|63|92|33|48|1028|1047|1314|50|4073.5|12271.94
120 BREST|brest120@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-06-01 00:00:00+02|694|3855|62.68|0.29|28.87|1.53|53.03|0.43|24.98|1.45|37.18|0.58|20.44|1.37|21|91|29|93|39|68|833|484|1010|38|2330.9|7981.01
122 ANGERS|angers122@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-06-01 00:00:00+02|592|3276|57.77|1.69|45.67|3.51|55.07|1.69|40.93|3.05|55.07|1.69|40.57|2.99|31|25|22|26|7|13|1385|1603|1819|42|3548.15|18706.85
127 MONTPELLIER|montpellier127@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-06-01 00:00:00+02|862|3326|17.75|0.46|17.53|3.49|15.55|0.58|15.30|3.22|11.72|1.39|11.09|3.46|120|122|120|122|111|105|441|370|554|16|1383.6|5351.02
132 ARGENTEUIL|argenteuil132@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-06-01 00:00:00+02|32|3395|43.75|0.00|30.34|8.16|40.63|0.00|27.01|7.10|31.25|0.00|22.53|5.63|71|85|64|80|52|56|850|942|1166|9|834.5|17599.03
136 LYON PART DIEU|lyonpartdieu136@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-06-01 00:00:00+02|1949|7836|21.81|0.77|19.65|3.28|19.60|0.67|17.09|2.88|5.13|0.87|4.73|1.43|118|120|116|117|123|126|1236|559|1503|47|5989.5|18172.03
139 TOURS|Stpierredescorps139@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-06-01 00:00:00+02|940|4790|12.98|0.53|11.90|0.96|9.26|0.53|8.83|0.75|8.94|0.53|8.64|0.79|125|126|125|128|116|116|808|1049|974|30|2418.9|11773.66
141 PARIS LA DEFENSE|ladefense141@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-06-01 00:00:00+02|1694|9125|48.17|0.18|27.01|3.22|43.98|0.53|24.85|3.11|19.72|2.42|11.24|3.52|58|100|49|95|79|104|2285|1972|2901|94|9637.05|38820.82
142 PARIS PASSAGE DU HAVRE|Passageduhavre142@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-06-01 00:00:00+02|2004|10474|36.48|0.35|36.49|4.93|31.04|0.45|30.60|4.12|8.53|1.65|11.05|2.72|85|62|88|62|118|106|2923|2304|3800|69|6980.75|27305.71
143 ORLEANS|orleans143@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-06-01 00:00:00+02|745|4007|54.50|1.07|37.09|3.69|48.32|1.34|32.34|3.47|47.25|1.34|31.52|3.44|42|58|38|54|19|30|1191|1165|1508|50|4794.4|21109.3
145 PARIS LES HALLES|Forum145@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-06-01 00:00:00+02|948|5472|33.23|0.63|19.99|2.41|25.21|0.53|15.63|1.68|21.62|2.22|13.01|3.14|94|118|102|121|72|95|1018|902|1276|29|4163|11619.2
149 PARIS RUE DE RENNES|ruederennes149@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-06-01 00:00:00+02|840|4461|28.93|0.60|23.43|2.87|22.38|0.36|19.21|2.22|16.55|1.07|9.95|2.20|103|109|108|106|95|110|1100|1043|1343|40|2792.8|15600.1
153 LE HAVRE|Lehavrecoty153@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-06-01 00:00:00+02|899|4837|31.70|1.56|29.40|2.89|22.80|1.22|18.94|1.96|22.80|1.22|18.63|2.03|97|89|106|107|69|71|1247|1327|1576|51|3049.7|23745.09
155 LORIENT|Lorien155@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-06-01 00:00:00+02|896|4632|15.40|0.11|9.72|0.56|13.95|0.11|8.05|0.47|11.61|0.22|6.28|0.54|122|129|122|129|112|125|404|370|501|13|1160.8|2534.4
156 MARSEILLE|marseillebourse156@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-06-01 00:00:00+02|358|1806|26.26|0.28|18.22|2.99|22.91|0.00|16.39|2.71|19.27|0.00|11.96|2.38|110|121|105|120|84|101|278|316|345|7|440.8|5867.45
182 TROYES|Troyes182@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-06-01 00:00:00+02|0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|133|135|133|135|133|135|264|465|321|0|0|82
191 VAL D'EUROPE|valdeurope191@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-06-01 00:00:00+02|2025|7693|14.67|0.84|33.74|7.24|12.74|0.79|30.20|6.37|4.99|0.99|9.63|2.34|124|70|123|65|124|112|2589|2407|3312|106|16260.07|39377.9
193 ANNECY|annecy193@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-06-01 00:00:00+02|944|5005|49.26|0.53|34.07|2.76|43.33|0.85|31.03|2.52|42.90|0.95|30.67|2.64|53|67|52|61|25|33|1254|1158|1636|56|4186.5|15477.49
194 VILLENEUVE D'ASCQ|Villeneuve194@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-06-01 00:00:00+02|918|4717|56.64|4.58|33.75|11.47|48.26|5.23|27.54|9.41|17.21|5.66|9.20|4.30|35|69|39|77|93|115|1025|806|1295|40|3537.6|13140.91
195 PAU LESCAR|pau195@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-06-01 00:00:00+02|789|3983|17.49|0.76|16.57|2.36|14.20|0.63|12.75|1.86|14.07|0.63|12.05|1.93|121|123|121|124|103|100|508|563|684|19|1570.9|7330.6
196 BELLE EPINE|belleepine196@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-06-01 00:00:00+02|883|4516|66.02|0.91|44.40|7.40|61.72|1.02|42.25|7.15|14.72|4.30|10.21|4.14|14|33|13|21|101|108|1594|1375|2360|75|7545.9|26594.17
200 ROSNY|rosny200@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-06-01 00:00:00+02|656|3826|70.58|0.61|52.82|5.23|66.92|0.91|48.75|4.78|19.21|1.37|16.91|2.25|5|11|5|11|85|80|1986|1682|2501|47|5164.54|26668.6
204 MARSEILLE|bonneveine204@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-06-01 00:00:00+02|311|1715|44.69|1.61|39.13|6.24|41.80|1.93|35.92|6.24|38.59|1.29|32.01|5.77|67|47|59|44|36|29|571|519|744|16|1667.5|5520.05
205 Montmartre|montmartre205@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-06-01 00:00:00+02|649|3565|29.43|0.46|26.26|3.81|26.19|0.92|23.37|3.76|7.86|2.77|6.76|1.85|102|102|100|97|120|123|872|489|1087|18|2140.3|19593.8
206 Commerce|commerce206@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-06-01 00:00:00+02|775|4048|39.61|0.77|45.26|4.57|36.26|0.77|41.77|4.22|24.90|1.68|35.08|4.00|80|28|74|24|66|25|1348|819|1668|79|5599.55|21204.71
207 GARE DE L'EST|207garedelest@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-06-01 00:00:00+02|1234|3228|2.35|0.16|22.83|7.25|2.03|0.16|20.23|6.54|0.89|0.24|4.00|2.85|130|110|129|104|130|128|818|876|1052|18|3725.1|13200.84
209 TAVERNY|209taverny@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-06-01 00:00:00+02|788|3926|24.24|0.76|22.36|1.96|19.29|0.76|17.14|1.53|15.36|0.89|14.31|1.35|114|112|117|116|98|94|692|509|883|38|5074.93|15224.97
