username|email|role|dr|brand|date|nbtransacm0|nbtransacytd|txtransacnpem0|txtransacnvem0|txtransacnpeytd|txtransacnveytd|txtransacnpesm0|txtransacnvesm0|txtransacnpesytd|txtransacnvesytd|txtransacnpesam0|txtransacnvesam0|txtransacnpesaytd|txtransacnvesaytd|ranknpem0|ranknpeytd|ranknpesm0|ranknpesytd|ranknpesam0|ranknpesaytd|nbreclientscontactablesemailh|nbreclientsinactifsemailh|nbreclientsanimesm0|nbreclientstransformesm0|caclientstransformesm0|cacrmytd
013 NICE LINGOSTIERE|nicelingostiere13@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|387|2075|29.20|3.88|29.54|4.58|27.65|3.88|27.86|4.43|23.00|3.10|26.36|4.43|94|81|84|67|58|37|818|878|1038|22|1167|8377.75
014 NICE TNL|nicetnl14@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|553|2544|29.66|5.06|20.68|3.89|26.40|4.88|18.91|3.73|26.04|5.06|18.32|3.62|91|114|91|102|53|66|771|1155|894|29|2354.1|7705.75
016 SAINT PRIEST|stpriest16@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|598|3117|63.04|8.36|55.12|7.51|56.35|7.53|51.27|6.83|53.51|9.53|47.99|8.95|5|5|10|4|5|4|1889|1600|2541|64|6913.3|27140.07
017 ECULLY|ecully17@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|824|4012|29.49|2.43|24.45|1.72|26.70|1.94|21.96|1.57|16.63|1.70|16.40|1.45|92|103|88|96|84|76|936|586|1212|33|2383.5|12708.1
018 TOULON MAYOL|Toulonmayol18@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|413|2048|47.46|8.96|39.84|7.57|44.79|8.72|37.45|7.18|40.68|7.26|31.01|6.54|30|35|27|29|18|27|1002|965|1325|37|2923|9866.13
019 PORTET S/ GARONNE|toulouseportet19@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|512|2536|43.16|12.30|39.27|7.57|40.63|11.13|37.11|6.90|37.50|9.38|35.09|6.82|46|37|37|31|22|22|1406|1601|2011|36|2703.2|12015.14
020 TOULOUSE GRAMONT|toulousegramont20@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|713|3458|34.64|7.85|31.41|7.00|31.00|6.73|27.15|5.52|29.59|7.01|24.75|5.23|72|69|68|70|42|42|988|720|1330|29|2042.2|7374.01
021 BORDEAUX LE LAC|bordeauxlelac21@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|627|3213|21.85|2.07|25.86|2.43|18.82|1.91|23.65|2.18|9.09|1.44|11.58|1.65|111|97|108|89|111|97|1444|1721|2051|41|2805|14162.05
024 NICE ETOILE|niceetoile24@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|944|4559|26.80|5.08|26.76|4.12|23.52|4.98|24.68|3.95|21.61|4.66|22.94|3.47|100|91|96|84|61|49|1369|1237|1768|36|2698.6|12614.64
026 PONTAULT COMBAULT|pontault26@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|610|3037|62.13|6.39|49.42|4.58|59.18|6.07|45.90|4.28|16.23|3.61|14.42|2.37|7|12|6|11|86|88|1356|958|1765|60|5042.1|14461.33
027 CLAYE SOUILLY|clayesouilly27@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|769|3653|57.09|4.03|46.32|4.63|54.10|4.81|43.64|5.04|16.64|5.33|13.88|3.89|14|20|13|17|83|92|1371|586|1657|68|5667|14594.48
028 FACHES THUMESNIL|Faches28@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|897|4116|44.04|5.91|38.53|3.13|39.46|4.57|34.79|2.62|33.11|4.79|27.11|2.77|43|42|42|39|30|34|1829|1651|2412|77|4710.5|21835.09
029 RONCQ|Roncq29@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|1015|4725|35.67|23.94|25.84|13.31|22.27|9.46|16.78|5.57|19.11|9.06|13.97|5.33|71|98|101|111|69|91|1200|817|1461|44|3619.5|13487.06
030 SAINT GENIS 2|stgenis30@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|646|3212|41.95|5.26|44.40|4.05|35.60|4.18|39.07|3.36|30.96|3.72|35.46|3.11|50|23|55|23|38|21|1446|1276|1936|58|3254.3|14497.53
031 NOYELLES GODAULT|Noyelles31@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|422|2320|48.82|21.33|40.60|11.08|47.16|19.43|33.62|9.61|13.27|4.50|9.22|3.66|28|29|23|42|96|108|1128|1234|1579|37|2140.77|11818.77
032 ST BRICE SOUS FORET|Stbrice32@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|632|2614|24.53|3.48|24.87|2.30|22.31|3.32|22.15|2.14|14.87|2.53|14.73|1.80|104|102|100|95|90|85|691|585|908|25|1913|10231.47
033 ST SEBASTIEN S/ LOIRE|stsebastien33@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|688|3357|38.95|6.25|29.91|6.26|33.58|6.54|25.14|5.78|32.56|6.10|24.55|5.75|60|79|60|81|33|43|1255|1245|1698|42|2670.2|12249.89
036 MONTESSON|montesson36@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|654|2761|55.50|14.07|46.47|10.03|53.21|12.69|43.86|9.16|20.64|6.88|16.55|5.58|18|18|14|15|65|74|1183|694|1407|48|3760.7|13973.81
037 CAP 3000|cap300037@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|341|1696|20.53|3.23|30.66|3.18|19.65|3.23|29.13|3.07|17.01|2.64|27.00|2.83|114|75|106|59|79|36|814|856|1047|23|1883.2|10576.23
038 VALENCE|valence38@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|381|1884|47.24|9.19|50.42|10.46|45.14|9.19|47.72|9.87|35.70|6.30|35.51|6.48|31|10|26|9|24|19|1065|964|1452|33|3461.2|13135.49
040 VENETTE|Venette40@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|551|2586|49.73|4.54|44.28|4.41|48.09|4.90|41.84|4.22|41.38|3.99|35.00|3.71|26|24|21|19|16|23|1019|599|1290|29|1778|7456.25
041 VALTHOIRY|valthoiry41@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|841|4064|31.87|9.63|31.23|10.01|18.79|7.61|19.14|7.21|17.36|7.85|16.93|7.14|87|71|109|101|76|71|1064|688|1388|57|4437|23644.14
042 LA VILLE DU BOIS|Villedubois42@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|688|3346|33.58|2.47|15.93|1.29|30.38|2.33|13.90|1.11|17.88|1.89|9.29|1.08|79|122|73|121|74|107|530|375|655|32|2656.3|8699.86
044 CERGY PONTOISE|Cergy44@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|615|2976|61.30|8.62|39.55|4.74|58.70|8.29|36.90|4.47|18.54|2.93|13.47|1.98|8|36|7|33|73|94|1211|985|1581|41|2236.7|13715.95
046 AVIGNON MISTRAL 7|avignonmistral46@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|455|2367|24.18|3.30|29.95|3.42|22.64|3.08|28.09|3.30|5.05|0.22|7.94|1.18|106|78|99|65|124|115|875|808|1189|21|1988.2|11355.68
048 BORDEAUX ST MEDARD|bordeauxmedard48@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|563|2706|47.07|5.15|35.37|3.22|41.92|4.09|31.01|2.85|41.56|4.09|30.82|2.81|33|55|32|54|13|28|913|707|1190|44|2763|9380.7
049 NOISY LE GRAND|noisy49@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|658|3567|51.52|8.66|35.63|5.47|49.39|8.36|33.22|4.93|11.70|5.17|10.34|3.22|23|53|17|45|105|105|1101|583|1348|32|2182.2|9315.53
051 LE MANS|lemans51@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|648|3326|44.75|8.02|38.70|6.22|40.90|7.41|35.12|5.71|40.90|7.41|34.85|5.83|37|41|35|38|17|24|1515|1680|2096|69|4911.2|20259.28
053 STRASBOURG LES HALLES|strasbourg53@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|304|1620|42.76|23.36|46.48|16.54|40.13|23.36|40.19|15.12|23.03|14.14|15.93|7.35|47|17|39|20|57|81|891|748|1207|14|886.1|7755.45
054 CENTRE 2 ST ETIENNE|stetienne54@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|373|2255|58.45|5.09|58.89|5.32|54.16|5.09|55.39|5.01|53.62|5.36|54.72|5.28|11|3|12|3|4|1|1642|1926|2321|46|4491.3|26689.34
055 GRENOBLE GRAND PLACE|Grenoblegdplace55@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|635|3113|49.76|4.41|47.48|4.88|47.24|4.88|44.30|4.56|26.30|2.68|23.39|2.47|25|15|22|14|51|47|1595|1575|2232|70|5554|22597.74
057 GONFREVILLE|Gonfreville57@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|574|3007|48.26|9.41|49.29|8.45|43.55|8.01|45.03|7.35|42.68|7.84|44.16|7.28|29|13|28|12|12|7|1710|2198|2455|84|5251.4|29798.02
062 VELIZY|velizy62@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|684|3948|71.20|7.60|54.48|7.07|65.94|6.73|49.47|6.64|15.35|2.05|12.84|2.10|1|7|1|6|88|95|2352|1650|3038|70|6221.3|34636.47
063 MERIGNAC|merignac63@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|791|3899|34.64|3.16|29.42|2.41|28.45|2.53|24.98|1.87|24.02|2.02|19.31|1.56|73|83|80|82|55|62|1448|1515|1990|60|3505.4|15178.97
064 CARRE SENART|carresenart64@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|516|2742|40.89|4.65|35.01|3.65|37.02|4.07|30.67|3.06|19.38|2.71|16.89|2.08|55|58|47|56|67|72|1263|932|1620|41|2954|14006.53
066 CRETEIL|creteilsoleil66@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|811|3979|56.97|10.11|46.49|7.94|34.16|5.43|32.77|5.81|7.89|4.81|7.06|4.50|15|16|58|48|117|119|1896|1428|2483|58|7017|29060.39
067 TOURS|Tourscentre67@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|561|2846|20.32|6.24|19.22|4.29|17.11|4.81|14.93|2.99|16.93|4.63|14.37|3.06|115|116|115|119|80|89|627|530|814|15|999|8083.15
071 BAY 2 TORCY|bay2torcy71@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|663|3484|53.85|8.60|40.07|6.52|48.27|7.69|35.62|5.80|12.67|6.49|10.79|4.25|20|33|20|37|100|104|1269|779|1601|65|3854.4|16716.16
072 BRETIGNY|Bretigny72@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|911|4723|11.75|3.40|12.96|2.60|9.77|2.96|10.65|2.14|6.92|2.85|7.03|1.65|125|124|125|125|118|120|779|874|1089|28|2640.2|11464.25
073 EVRY 2|evrydeux73@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|491|2536|22.61|2.85|20.70|3.12|18.13|2.24|17.47|2.52|15.07|2.85|15.89|2.80|109|113|111|109|89|82|507|500|686|11|1260.1|6417.04
074 CAEN CENTRE VILLE|Caen74@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|505|2460|42.38|2.77|37.48|2.80|39.60|1.98|33.90|2.52|39.41|2.18|33.82|2.60|49|44|40|41|19|25|1229|1463|1788|67|3215.3|10890.19
075 NANCY|Nancy75@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|668|3231|46.56|4.79|30.83|3.16|39.07|3.59|23.31|2.23|26.95|2.69|18.57|2.20|34|73|43|91|48|63|1084|985|1444|37|2963.3|7665.46
077 SENS|sens77@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|132|133|132|133|132|133|87|131|128|0|0|142
079 ECHIROLLES|echirolles79@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|564|2672|44.33|7.09|35.07|5.01|40.78|5.85|31.92|4.30|31.03|4.79|24.89|4.08|41|56|36|51|36|41|1071|1032|1464|49|2626|10208.51
080 LILLE TANNEURS|lille80@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|818|3889|58.44|4.65|55.88|6.43|50.73|3.91|48.70|5.45|49.88|4.77|47.78|6.02|12|4|16|7|7|5|2199|1922|2965|76|4396|18736.96
081 Cora HOUDEMONT|Nancy81@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|1041|4831|44.48|6.44|34.03|5.28|28.72|3.46|22.91|3.31|18.92|2.50|20.37|3.15|40|60|78|92|70|59|1968|2012|2743|82|6891|23660.44
092 BRY SUR MARNE|092brysurmarne@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|133|134|133|134|133|134|270|361|394|5|439.76|2087.46
106 ROUEN|rouen106@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|533|2740|43.90|4.50|29.27|3.47|35.46|3.75|24.49|3.18|34.15|3.75|23.69|3.32|44|84|56|86|27|46|948|912|1288|38|3285.5|10404.78
116 COQUELLES|Calais116@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|709|3169|37.09|5.78|25.31|3.79|31.73|4.80|21.39|3.12|30.61|5.08|20.92|3.28|67|101|67|98|40|56|971|902|1292|34|3401.8|7569.14
120 BREST|brest120@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|606|3161|47.19|4.13|21.04|1.80|40.59|4.29|18.35|1.68|30.86|3.80|16.26|1.55|32|112|38|103|39|77|639|401|770|16|1186|5537.11
122 ANGERS|angers122@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|530|2684|57.36|6.60|42.88|3.91|54.91|6.23|37.70|3.35|53.96|6.04|37.26|3.28|13|27|11|26|3|15|1368|1437|1928|48|4186.5|14926.7
127 MONTPELLIER|montpellier127@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|570|2464|15.96|5.96|17.41|4.55|14.04|5.96|15.18|4.14|11.93|5.44|10.84|4.18|121|119|119|118|103|103|411|318|557|9|374|3791.92
132 ARGENTEUIL|argenteuil132@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|395|3363|32.15|10.13|30.15|8.30|26.84|8.10|26.82|7.23|20.00|5.32|22.39|5.74|86|77|86|71|66|52|985|801|1294|14|2380.1|16764.53
136 LYON PART DIEU|lyonpartdieu136@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|1154|5887|35.79|5.29|18.87|4.11|32.58|4.68|16.19|3.62|8.41|2.95|4.40|1.63|68|118|63|116|114|127|1035|440|1235|24|2694.6|11964.53
139 TOURS|Stpierredescorps139@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|723|3850|11.07|1.11|11.51|1.06|8.85|0.69|8.62|0.81|8.85|0.69|8.47|0.86|126|127|126|128|113|112|761|1027|1112|30|1733.1|9344.76
141 PARIS LA DEFENSE|ladefense141@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|1448|7432|29.21|4.56|22.07|3.92|26.52|4.35|20.36|3.70|13.40|4.49|9.19|3.71|93|106|90|100|95|109|2031|1720|2715|60|6870.1|28870.77
142 PARIS PASSAGE DU HAVRE|Passageduhavre142@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|1645|8470|37.63|5.23|36.38|6.02|32.04|4.50|30.35|5.01|10.52|2.49|11.49|2.96|65|48|65|57|107|99|2843|1988|3783|46|3484.9|20416.46
143 ORLEANS|orleans143@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|604|3262|38.25|5.79|32.71|4.29|32.62|5.13|28.39|3.95|32.45|4.97|27.65|3.92|63|66|62|64|34|32|1121|1046|1544|39|2738.5|16111.6
145 PARIS LES HALLES|Forum145@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|907|4523|27.67|3.97|17.16|2.79|19.51|2.43|13.58|1.92|17.20|3.86|11.19|3.34|97|120|107|122|77|101|919|812|1174|18|1459.1|7456.2
149 PARIS RUE DE RENNES|ruederennes149@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|673|3621|17.68|4.01|21.98|3.40|14.56|2.97|18.31|2.65|5.79|2.38|8.12|2.38|118|107|117|104|122|113|1055|981|1455|21|2677.5|12807.3
153 LE HAVRE|Lehavrecoty153@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|826|3938|37.29|4.72|28.64|3.22|28.57|3.63|17.85|2.16|28.33|3.63|17.45|2.23|66|85|79|107|46|68|1258|1174|1674|76|6795.6|20275.89
155 LORIENT|Lorien155@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|779|3736|15.28|1.67|8.32|0.67|12.07|1.16|6.58|0.56|5.65|1.16|4.95|0.62|123|129|123|129|123|126|375|325|472|7|189|1373.6
156 MARSEILLE|marseillebourse156@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|275|1448|14.91|3.64|15.54|3.66|12.73|2.91|14.16|3.38|10.18|2.55|9.60|2.97|124|123|122|120|109|106|289|281|401|9|2804.1|5242.65
182 TROYES|Troyes182@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|134|135|134|135|134|135|268|460|418|1|82|82
191 VAL D'EUROPE|valdeurope191@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|1257|5668|52.90|16.95|40.42|9.54|47.10|15.19|36.29|8.38|11.85|3.26|11.24|2.82|21|32|24|35|104|100|2666|2136|3486|71|6095.7|23270.83
193 ANNECY|annecy193@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|833|4061|27.97|2.40|30.16|3.28|26.29|2.16|27.90|2.91|26.05|2.28|27.55|3.03|95|76|92|66|52|33|1167|1032|1572|38|2141|11158.99
194 VILLENEUVE D'ASCQ|Villeneuve194@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|826|3799|33.41|16.10|27.64|13.16|27.97|13.08|21.95|10.42|6.05|6.78|6.76|3.90|81|88|82|97|121|122|965|632|1258|35|2972.7|9497.81
195 PAU LESCAR|pau195@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|707|3193|15.98|3.82|16.32|2.79|12.87|3.39|12.37|2.19|12.45|3.25|11.53|2.25|120|121|121|123|102|98|498|493|709|18|1130|5749.7
196 BELLE EPINE|belleepine196@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|628|3633|63.85|18.15|38.92|8.97|62.42|17.83|37.30|8.64|11.62|6.21|8.89|3.72|4|39|3|30|106|111|1490|1013|1908|60|4470.3|18926.27
200 ROSNY|rosny200@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|617|3170|62.24|7.13|49.12|6.18|59.64|6.81|44.95|5.58|19.29|1.46|16.25|2.40|6|14|5|13|68|78|1918|1450|2509|55|6230|21494.06
204 MARSEILLE|bonneveine204@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|274|1404|40.15|9.12|37.82|7.26|37.23|8.76|34.54|7.19|32.85|8.39|30.41|6.77|56|43|46|40|32|30|561|446|740|18|860|3832.55
205 Montmartre|montmartre205@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|512|2915|31.05|6.45|25.39|4.56|26.56|6.45|22.57|4.36|8.20|1.37|6.38|1.65|88|100|89|93|115|123|835|400|1020|17|1499.2|17443.5
206 Commerce|commerce206@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|648|3273|45.68|5.71|46.44|5.47|42.75|5.40|42.93|5.04|37.96|4.32|37.34|4.55|36|19|30|18|21|13|1331|712|1621|53|3855.8|15707.16
207 GARE DE L'EST|207garedelest@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|289|1993|27.68|16.26|35.42|11.64|24.91|14.88|31.41|10.49|6.23|6.57|5.87|4.52|96|54|94|53|120|124|876|805|1206|21|2634.2|9209.74
209 TAVERNY|209taverny@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|689|3138|22.35|2.32|21.73|2.26|18.14|1.89|16.48|1.72|14.66|1.02|13.99|1.43|110|109|110|115|91|90|653|434|845|24|1979|9820.04
